Y_Value,X_Value,Z_Value
-174.9095208,100,-0.263246353
-175.0772667,101,-0.259736662
-175.2501129,102,-0.25544776
-175.4274621,103,-0.250360168
-175.6087176,104,-0.244454406
-175.7932823,105,-0.237710993
-175.9805592,106,-0.230110449
-176.1699514,107,-0.221633294
-176.3608619,108,-0.212260047
-176.5526937,109,-0.201971228
-176.7448499,110,-0.190747358
-176.9367335,111,-0.178568955
-177.1277475,112,-0.16541654
-177.317295,113,-0.151270632
-177.5047789,114,-0.136111751
-177.6896023,115,-0.119920417
-177.8711683,116,-0.102677149
-178.0488798,117,-0.084362468
-178.2221399,118,-0.064956892
-178.3903517,119,-0.044440943
-178.5529181,120,-0.022795139
-178.7092421,121,0
-178.8588409,122,0.023944474
-179.0016873,123,0.048960361
-179.1378683,124,0.07495026
-179.267471,125,0.101816771
